"August 5th, 2026",,,,,,,
Sectors,Korean Tickers,Note,Numbers,Price ,HR,Dividend,
Index,KRX,KOSPI,KOSPI:KRX,"6,358.95",352.79%,KRW 940.00,
Multisectoral,KRX,Lotte Corp,004990:KRX,"22,650",-37.68%,"KRW 1,250.00",
Manufacturing,KRX,HD Hyundai Electric Co Ltd,267260:KRX,716000.00,1243.11%,"KRW 1,300.00",
Manufacturing ,KRX,Samsung C&T Corp,028260:KRX,322500.00,149.03%,"KRW 2,800.00",
Manufacturing,KRX,Samsung Electro-Mechanics Co Ltd,009150:KRX,1185000.00,3910.15%,"KRW 2,350.00",
Chemincals,KRX,LG Chem Ltd,051910:KRX,256500.00,486.26%,"KRW 2,000.00",
Chemincals,KRX,Lotte Chemical Corp,011170:KRX,57700.00,15.69%,KRW 500.00,
Healthcare ,KRX,Samsung Biologics Co Ltd,207940:KRX,1476000.00,823.63%,-,
Healthcare ,KRX,LG H&H Co Ltd,051900:KRX,291500.00,386.64%,"KRW 1,500.00",
Healthcare ,KRX,Celltrion Inc,068270:KRX,185800.00,5806.19%,KRW 714.00,
Healthcare ,KRX,SK Biopharmaceuticals Co Ltd,326030:KRX,79800.00,-5164.00%,-,
Semiconductor,KRX,SK Hynix Inc,000660:KRX,1577000.00,6756.52%,KRW 375.00,
,,,,,," KRW 12,789.00 ",
